TimeDim,FP.CPI.TOTLAUS,FP.CPI.TOTLCAN,FP.CPI.TOTLEST,AUS ,CAN,EST,AUS CPI derived price,CAN CPI derived price,EST CPI derived price
2012,105.12,104.47,109.11,,,,,,
2013,107.7,105.45,112.15,0.024,0.009,0.028,1.879,0.456,1.045
2014,110.38,107.46,112.03,0.05,0.022,0.066,3.833,1.08,2.466
2015,112.04,108.67,111.47,0.066,0.034,0.06,5.047,1.639,2.269
2016,113.48,110.22,111.64,0.079,0.049,0.062,6.091,2.357,2.329
2017,115.69,111.98,115.46,0.1,0.065,0.098,7.704,3.17,3.692
2018,117.9,114.52,119.42,0.122,0.089,0.136,9.317,4.344,5.11
2019,119.8,116.76,122.14,0.14,0.111,0.162,10.702,5.376,6.082
2020,120.81,117.59,121.6,0.149,0.119,0.157,11.442,5.762,5.888
2021,124.27,121.59,127.26,0.182,0.157,0.211,13.966,7.607,7.91
2022,132.47,129.86,151.94,0.26,0.235,0.445,19.943,11.43,16.732
2023,130.2,126.73,137.61,0.239,0.205,0.309,18.289,9.983,11.609
2024,132.59,129.4,141.75,0.261,0.231,0.348,20.035,11.217,13.09
2025,135.1,132.06,146.57,0.285,0.256,0.394,21.862,12.446,14.811
